points	Dis	area	people
42	471.858	3412.5	
155	291.194	25439.5	
22	619.681	2266.5	
57	764.199	9924.5	
31	563.746	8340.5	
21	770.146	3204	
14	678.231	2321.5	
31	563.746	8340.5	
21	770.146	3204	
14	678.231	2321.5	
